,momentum,volatility,strength,breadth,safe_haven,put_call
1997-02-10,,,0.5,2.371385566442532,,
1997-02-11,,,1.0,3.7584063725438903,,
1997-02-12,,,1.0,5.438696122990457,,
1997-02-13,,,1.0,4.086205918810373,,
1997-02-14,,,1.0,4.615986660844851,,
1997-02-17,,,1.0,4.503989086145787,,
1997-02-18,,,0.5,1.8669001613920062,,
1997-02-19,,,1.0,4.072918313866189,,
1997-02-20,,,1.0,1.3323877113450617,,
1997-02-21,,,1.0,-1.2735009634449512,,
1997-02-24,,,0.5,-3.7692280610004163,,
1997-02-25,,,0.5,-3.993004777182159,,
1997-02-26,,,1.0,-2.176094817694493,,
1997-02-27,,,0.5,0.946831512795417,,
1997-02-28,,,1.0,3.865589419559888,,
1997-03-03,,,1.0,6.253664070549001,,
1997-03-04,,,1.0,6.025725148631,,
1997-03-05,,,1.0,6.566502394334455,,
1997-03-06,,,0.5,4.463501959000916,,
1997-03-07,,,0.8,4.197410693728022,,
1997-03-10,,,0.0,0.16151784032292496,,
1997-03-11,,,0.0,-1.6860308579176082,,
1997-03-12,,,0.0,1.1659747526128679,,
1997-03-13,,,0.0,-0.6823842933167457,,
1997-03-14,,,1.0,0.3507764872862997,,
1997-03-17,,,0.0,-0.25845560131120976,,
1997-03-18,,,0.0,-1.6660091283455363,,
1997-03-19,,,1.0,-2.2721892868281666,,
1997-03-20,,,0.5,-2.2227003255866817,,
1997-03-21,,,0.5,-1.8185729936618302,,
1997-03-24,,,0.5,-1.4879233584505882,,
1997-03-25,,,1.0,-3.0355736569141185,,
1997-03-26,,,1.0,-1.756378446566096,,
1997-03-27,,,0.5,-1.0734005471904418,,
1997-03-28,,,0.5,-0.8782368113376341,,
1997-03-31,,,0.5,-3.9912846638217023,,
1997-04-01,,,0.5,-2.9019601794904832,,
1997-04-02,,,1.0,0.17112348950778844,,
1997-04-03,,,1.0,1.594555582324555,,
1997-04-04,,,1.0,-0.1499090690071834,,
1997-04-07,,,1.0,-1.5771983291876963,,
1997-04-08,,,1.0,-1.290434996608115,,
1997-04-09,,,1.0,2.398735002775181,,
1997-04-10,,,1.0,-0.946489543183945,,
1997-04-11,,,1.0,0.49832673739495514,,
1997-04-14,,,1.0,0.9531764215049637,,
1997-04-15,,,1.0,0.23441707214042443,,
1997-04-16,,,1.0,0.19179578629671087,,
1997-04-17,,,0.5,2.5205601887882194,,
1997-04-18,,,0.5,2.062276518099452,,
1997-04-21,,,1.0,4.232771696626826,,
1997-04-22,,,1.0,2.9177222972401298,,
1997-04-23,,,0.5,3.2963182431964704,,
1997-04-24,,,1.0,1.4242603807971108,,
1997-04-25,,,1.0,1.3471221297430906,,
1997-04-28,,,1.0,0.920372651607983,,
1997-04-29,,,0.0,-0.8833314668661969,,
1997-04-30,,,1.0,2.7318197089276595,,
1997-05-01,,,1.0,2.2351252163953577,,
1997-05-02,,,0.5,0.9196479043234737,,
1997-05-05,,,0.0,-1.2475608055535228,,
1997-05-06,,,0.0,-0.11164065908924516,,
1997-05-07,,,1.0,0.6359303698360725,,
1997-05-08,,,1.0,1.7930339389567873,,
1997-05-09,,,1.0,1.6488459500555532,,
1997-05-12,,,1.0,0.2581466864090881,,
1997-05-13,,,0.0,-0.6978799838471103,,
1997-05-14,,,0.5,1.6108254677614566,,
1997-05-15,,,0.5,1.4997662918048282,,
1997-05-16,,,0.5,0.49980878420394975,,
1997-05-19,,,0.5,0.04529809616686771,,
1997-05-20,,,1.0,-1.235665194045291,,
1997-05-21,,,0.5,-1.7382715224006928,,
1997-05-22,,,0.5,-3.422222154691477,,
1997-05-23,,,0.5,-2.254545399293026,,
1997-05-26,,,0.5,-2.753718963057931,,
